Team,CO,Component,SubComponent,Folder,File
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\font-awesome\less,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\font-awesome\scss,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\fonts,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\img,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\img\portfolio,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\js,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\AnalyticsFrontEnd_AngularJS\less,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudModule_MsTest,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudModule_MsTest\Properties,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudService_MsTest,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudService_MsTest\Properties,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\Controllers,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Hosting\wwwroot,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\Properties,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Models,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\New-NuGetPackages,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Properties,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\LocalDumpAnalysis,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\LocalDumpAnalysis\Properties,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\LogOperationExtractor,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\LogOperationExtractor\Properties,
,,Analytics,AnalyticsCube,Analytics\SystemBehavior\Applications\ShipSQLServerToMySQL,
T-Primer,ZHANG Peng,Analytics,,Analytics\SystemBehavior\BGCLocal,
T-Primer,ZHANG Peng,Analytics,,Analytics\SystemBehavior\BGCLocal\Code,
T-Primer,ZHANG Peng,Analytics,,Analytics\SystemBehavior\BGCLocal\Code\JenskinsScripts,
