Component,SubComponent,Team,Type,CO,Stable,Maturity,ProjectType,Segment,MarketingNames,DeploymentRestrictions,Parallelizable,Folder,TFSAreaPath,ToolCode,Maturity,Parallelizable,MarketingNames,Segment,ProjectType
Undefined,,Undefined,,,,,,,,,,
Shared utilities,,T-Primer,,LI Ziming,,,,,,,,
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\CmdHandler
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\Common
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\DataPump
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\DataPumpMediator
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\GTest
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\ToolCtrlManager
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\WirelinePowerManager
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\Wireline
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Mock\Acquisition
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzProducts\controls\Wafe\UI
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzProducts\UIServers
WL Acq Cracking,WL Acq Cracking,Workflow,,Xu Dawei,,,,,,,,,HzProducts\Editors\StableInterval
WL Acq Cracking,WL Acq Cracking Base,Workflow,,Xu Dawei,,,,,,,,
WL Acq Cracking,WL Acq Cracking Base,Workflow,,Xu Dawei,,,,,,,,,hzAPI
WL Acq Cracking,WL Acq Cracking Base,Workflow,,Xu Dawei,,,,,,,,,HzFramework
WL Acq Cracking,WL Acq Cracking Base,Workflow,,Xu Dawei,,,,,,,,,hzAPI\BaseImpl\gtest
WL Acq Cracking,WL Acq Cracking Base,Workflow,,Xu Dawei,,,,,,,,,hzAPI\Interface
Parameter,,Workflow,,Chenhui Zhang,,,,,,,,
Parameter,ParameterBase,Workflow,,Chenhui Zhang,,,,,,,,
Parameter,ParameterBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\BaseImpl
Parameter,ParameterBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Include
Parameter,ParameterBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Interface
Parameter,ParameterBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
DnM RT Acquisition,,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM RT Acquisition Base,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM RT Acquisition Base,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\BaseImpl
DnM RT Acquisition,DnM RT Acquisition Base,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Include
DnM RT Acquisition,DnM RT Acquisition Base,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Interface
DnM RT Acquisition,DnM RT Acquisition Base,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Managers\GenericChannelManager
DnM RT Acquisition,DnM RT Acquisition Base,Workflow,,Chenhui Zhang,,,,,,,,,hzFramework\Acquisition\AcquisitionHelper
DnM RT Acquisition,DnM RT Acquisition Connection,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM RT Acquisition Connection,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\controls\HSPM
DnM RT Acquisition,DnM RT Acquisition Monitors,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM RT Acquisition Monitors,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Viewers\DepthMonitor
DnM RT Acquisition,DnM RT Acquisition Monitors,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Viewers\FrameDecoderStatusMonitor
DnM RT Acquisition,DnM RT Acquisition Monitors,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Viewers\HSPMStatusMonitor
DnM RT Acquisition,DnM RT Acquisition Monitors,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Viewers\HSPMTelemetryMonitor
DnM RT Acquisition,DnM RT Acquisition Monitors,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Viewers\ToolfaceMonitorViewer
DnM RT Acquisition,DnM RT Acquisition,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM RT Acquisition,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Managers\GenericChannelManager
DnM RT Acquisition,DnM RT Acquisition,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
DnM RT Acquisition,DnM Data Pump,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM Data Pump,Workflow,,Chenhui Zhang,,,,,,,,,hzFramework\Acquisition\DataPump
DnM RT Acquisition,DnM RT Acquisition Test,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,DnM RT Acquisition Test,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Mock
DnM RT Acquisition,DnM RT Acquisition Test,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Mock\Acquisition
DnM RT Acquisition,DnM RT Acquisition Test,Workflow,,Chenhui Zhang,,,,,,,,,hzFramework\Acquisition\GTest
DnM RT Acquisition,DnM RT Acquisition Test,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Acquisition\AutoTest\Acquisition_AutoTest
DnM RT Acquisition,DnM RT Acquisition Test,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Acquisition\AutoTest\Acquisition_AutoTest\Planck
DnM RT Acquisition,Planck,Workflow,,Chenhui Zhang,,,,,,,,
DnM RT Acquisition,Planck,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Acquisition\Planck
DnM RT Acquisition,Planck,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Controls\PlanckPanelControl
DnI_Survey,,Workflow,,Chenhui Zhang,,,,,,,,
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\BaseImpl
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Include
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Interface
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Common\Survey
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzFwkUtils\DMAG
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Viewers\SurveyMonitor
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\GenericComponents\ElevationDiagram
