File,LOC,Coverage
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\arguments.cs,59,91.52542
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\helper.cs,61,93.44262
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\limitedtaskscheduler.cs,35,71.42857
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\logfilelistener.cs,35,94.28571
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\longpathsupport.cs,72,90.27778
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\common\stringcaseinsensitivecomparer.cs,3,100
Analytics\SystemBehavior\databaseaccess\analyticsdbaccess\staging\systemmonitorlogdescription.cs,5,100
Analytics\SystemBehavior\databaseaccess\analyticsmanagement\analyticsservice.cs,14,0
Analytics\SystemBehavior\databaseaccess\analyticsmanagement\platformmanagement.cs,88,62.5
Analytics\SystemBehavior\databaseaccess\analyticsregister\program.cs,172,83.13953
Analytics\SystemBehavior\databaseaccess\analyticstask\program.cs,55,63.63636
Analytics\SystemBehavior\dataanalyzer\contexttasks\logcrashanalyzer.cs,108,85.18519
Analytics\SystemBehavior\dataanalyzer\contexttasks\logcrashoperationanalyzer.cs,99,88.88889
Analytics\SystemBehavior\dataanalyzer\contexttasks\dumpcontextanalyzer.cs,140,83.57143
Analytics\SystemBehavior\dataanalyzer\contexttasks\logfeatureanalyzer.cs,113,82.30089
Analytics\SystemBehavior\dataanalyzer\contexttasks\logjobrunanalyzer.cs,163,95.70552
Analytics\SystemBehavior\dataanalyzer\contexttasks\logtoolanalyzer.cs,97,91.75258
Analytics\SystemBehavior\dataanalyzer\contexttasks\dumpsourceanalyzer.cs,21,100
Analytics\SystemBehavior\dataanalyzer\contexttasks\tfslookup.cs,86,90.69768
Analytics\SystemBehavior\dataanalyzer\filetasks\dumpcontentanalyzer.cs,78,85.89744
Analytics\SystemBehavior\dataanalyzer\filetasks\filestatecollector.cs,193,74.6114
Analytics\SystemBehavior\dataanalyzer\filetasks\minidumpcrawler.cs,101,82.17822
Analytics\SystemBehavior\dataanalyzer\filetasks\sharefoldercrawler.cs,39,66.66666
Analytics\SystemBehavior\dataanalyzer\filetasks\sharepointcrawler.cs,41,68.29269
Analytics\SystemBehavior\dataanalyzer\filetasks\systemmonitorlogcrawler.cs,128,81.25
Analytics\SystemBehavior\dataanalyzer\filetasks\zipcontentcrawler.cs,69,84.05797
Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudModule_MsTest\testCalculator.cs,103,100
Analytics\SystemBehavior\Applications\GCloudDataSever\src\gcloudService_MsTest\MBTFServiceTest.cs,97,100
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\Calculator.cs,420,96.43
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\DTO.cs,39,100
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Module\MySQLAccessor.cs,59,0
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Models\mtbfDto.cs,33,75
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\IMBTFService.cs,13,100
Analytics\SystemBehavior\Applications\GCloudDataSever\src\Service\Services\MBTFService.cs,44,100
