File,CID,Severity,Checker,Status
/Maxwell/Main/HzProducts/Tools/WL_Simulator/VirtualWAFE/DLL/VtsPort.cpp,11869,Unspecified,CHECKED_RETURN,Dismissed
/Maxwell/Main/HzSysApps/Ensembles/WLSurface/WafeATestPhase/Common/WafeA_InitializeWafeTestsTask.cpp,11874,Unspecified,CHECKED_RETURN,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xlocale,11881,Unspecified,CHECKED_RETURN,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/xstring,11882,Unspecified,CHECKED_RETURN,Dismissed
/Maxwell/Main/HzApplications/MDT/Common/CoreImpl/MdtToolkit.cpp,12265,Minor,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/MDT/MdtHydraulic/Common/Acquisition/MdtHydraulicAcqModule.cpp,12379,Minor,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/MDT/MdtHydraulic/Common/ToolControl/MdtHydraulicSeqModule.cpp,12392,Minor,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/MDT/MdtHydraulic/Common/ToolControl/MdtHydraulicSeqModule_Monitor.cpp,12402,Minor,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/Common/CoreImpl/TalnSeqModule_FirmwareUpgrade.cpp,12711,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/FTPO/ToolControl/FtpoSeqModuleBase.cpp,12718,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/FTPO/ToolControl/FtpoSeqModulePumpFromSamplingPoint.cpp,12721,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/FTWT/Equipment/FttcTool.h,12722,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/FTWT/Equipment/FttcTool.h,12723,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/FTWT/Equipment/TntaToolBase.cpp,12724,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/FTWT/Equipment/TntaToolBase.cpp,12725,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/TALN/SolSensor/Simulation/SolSensorSimModuleBase.cpp,12788,Unspecified,COM.BSTR.CONV,Dismissed
