File,LOC,Coverage
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\dsccollectorinfo.cs,48,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\passwriter.cs,67,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\lapinfo.cs,7,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\bullkdatafiller.cs,21,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\fillingseed.cs,6,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\lapsummary.cs,7,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\bulkdataconfigurator.cs,21,0
hzautotest\digitaldeliverablestestframework\rtbulkdatacreator\osddhelper.cs,5,0
hzproductsapi\dataexchange\dexinterface\dlisnameconvention.cs,224,56.25
hzproductsapi\dataexchange\dexinterface\oneclickdeliverablegenerationargs.cs,9,0
hzproductsapi\dataexchange\dexinterface\idigitaldeliverablewriter.cs,12,0
hzproductsapi\dataexchange\dexinterface\dcsystemmonitoreventservice.cs,34,0
hzproductsapi\dataexchange\dexinterface\dataexchangeutilities.cs,10,0
hzproductsapi\dataexchange\dexinterface\parameterchecklist.cs,1,0
hzproductsapi\dataexchange\dexinterface\commonfilenameservice.cs,6,50
hzproducts\managers\digitaldeliverable\digitaldeliverabletemplateproperty.cs,1214,53.29489
hzproducts\managers\digitaldeliverable\digitaldeliverableformateditor.cs,1453,0
hzproducts\managers\digitaldeliverable\dscdatamodel\dscdatamodel.cs,434,0
hzproducts\managers\digitaldeliverable\templatepropertycontext.cs,154,81.81818
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\dataassignmenteditor.cs,121,0
hzproducts\managers\digitaldeliverable\miscellaneous\indexunitconversionadapter.cs,11,100
hzproducts\managers\digitaldeliverable\formateditorchanneldata.cs,57,0
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\utils.cs,7,0
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\filenameeditor.cs,27,0
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\filedestinationeditor.cs,14,0
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\starttimepickereditor.cs,8,0
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\datetimepickereditor.cs,8,0
hzproducts\managers\digitaldeliverable\templatepropertytypeeditor\stoptimepickereditor.cs,10,0
hzproducts\managers\digitaldeliverable\miscellaneous\thrubithelper.cs,2,100
hzproducts\managers\digitaldeliverable\miscellaneous\domaincompatiblefactory.cs,8,0
hzproducts\managers\digitaldeliverable\miscellaneous\domainutility.cs,13,0
hzproducts\managers\digitaldeliverable\formateditortoolbar.cs,34,0
hzproducts\managers\digitaldeliverable\dscdatamodel\dscrepresentation.cs,70,0
hzproducts\managers\digitaldeliverable\digitalformatproperty.cs,53,0
hzproducts\managers\digitaldeliverable\digitaldeliverableformateditor.designer.cs,344,0
hzproducts\managers\digitaldeliverable\dscdatamodel\dscparameter.cs,40,0
hzproducts\managers\digitaldeliverable\osddconvert\witsmlosddconverter.cs,7,85.71429
hzproducts\managers\digitaldeliverable\miscellaneous\tooldatafetcher.cs,42,0
hzproducts\managers\digitaldeliverable\dscdatamodel\dsclap.cs,13,0
hzproducts\managers\digitaldeliverable\osddconvert\osddconverter.cs,49,93.87755
hzproducts\managers\digitaldeliverable\dscdatamodel\dscdeliverabletemplate.cs,6,0
hzproducts\managers\digitaldeliverable\formateditordata.cs,38,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\booleancomboboxconverter.cs,4,0
hzproducts\managers\digitaldeliverable\osddconvert\dlisosddconverter.cs,4,75
hzproducts\managers\digitaldeliverable\miscellaneous\domainservice.cs,4,0
hzproducts\managers\digitaldeliverable\dscdatamodel\dscrepsegment.cs,6,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\templatepropertytypeconverter.cs,6,0
hzproducts\managers\digitaldeliverable\dscdatamodel\dscrun.cs,5,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\cddiavailabilityconverter.cs,22,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\domainconverter.cs,12,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\publisherconverter.cs,14,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\publishconverter.cs,9,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\surveytypeconverter.cs,10,0
hzproducts\managers\digitaldeliverable\templatepropertytypeconverter\unitsystemconverter.cs,20,0
hzproducts\managers\digitaldeliverable\miscellaneous\runpathhelper.cs,22,0
hzproducts\managers\digitaldeliverable\miscellaneous\runcollectionhelper.cs,6,100
hzproducts\viewers\deliverables\editordlis\digitaldlistemplateproperty.cs,583,46.14065
hzproducts\viewers\deliverables\editordlis\digitaldlisformateditor.cs,171,0
hzproducts\viewers\deliverables\editordlis\templatepropertycontextdlis.cs,25,16
hzproducts\viewers\deliverables\editordlis\typeconverter\repeatlastvalueconverter.cs,4,0
hzproducts\viewers\deliverables\editordlis\toolpredefinedtemplateinterpreter.cs,29,0
hzproducts\viewers\deliverables\editordlis\typeconverter\toolspecificdlisconverter.cs,4,0
hzproducts\viewers\deliverables\editordlis\dlistemplatefilenameupdatehelper.cs,51,0
hzproducts\viewers\deliverables\editordlis\typeconverter\loadtortdbconverter.cs,4,0
hzproducts\viewers\deliverables\editordlis\typeconverter\dataassignmenttypeconverter.cs,5,0
hzproducts\viewers\deliverables\editordlis\typeconverter\dliscompatibilityconverter.cs,4,0
hzproducts\viewers\deliverables\editordlis\customdlisformateditortoolbar.cs,45,0
hzproducts\viewers\deliverables\editordlis\typeconverter\decimationrateconverter.cs,4,0
hzproducts\viewers\deliverables\editordlis\customdlispropertiestab.cs,17,0
hzproducts\viewers\deliverables\editordlis\typeconverter\preferredsourcepassconverter.cs,16,0
hzproducts\viewers\deliverables\editordlis\predefinedtemplate.cs,40,0
hzproducts\viewers\deliverables\editordlis\typeconverter\channelconflictionconverter.cs,6,0
hzproducts\viewers\deliverables\editordlis\typeconverter\channelpropertyconverter.cs,11,0
hzproducts\managers\publisher\common\abstractpublisher.cs,48,20.83333
hzproducts\managers\publisher\common\publishoptions.cs,7,100
hzproducts\managers\publisher\interactpublisher\interactimpl.cs,177,1.694915
hzproducts\managers\publisher\interactpublisher\interactpublisher.cs,423,16.31206
hzproducts\managers\publisher\interactpublisher\transferdispatcher.cs,23,13.04348
hzproducts\managers\publisher\interactpublisher\interacttransfer.cs,91,38.46154
hzproducts\managers\publisher\interactpublisher\interactsettings.cs,17,29.41176
hzframework\datastore\utilities\dscutilities\dsclock.cs,51,76.47059
hzframework\datastore\utilities\dscutilities\dscreadlock.cs,11,81.81818
hzproducts\managers\publisher\tcpippublisher\tcpipimpl.cs,125,12.8
hzproducts\managers\publisher\tcpippublisher\tcpippublisher.cs,211,6.635071
hzproducts\managers\publisher\tcpippublisher\tcpiptransfer.cs,6,0
hzproducts\managers\publisher\tcpippublisher\tcpipsettings.cs,4,100
hzproducts\managers\publisher\comportpublisher\comportimpl.cs,120,15.83333
hzproducts\managers\publisher\comportpublisher\comportpublisher.cs,216,19.90741
hzproducts\managers\publisher\comportpublisher\comporttransfer.cs,6,0
hzproducts\managers\publisher\comportpublisher\comportsettings.cs,4,100
hzapi\systemmonitorinterfaces\instrumenttracer.cs,27,70.37037
hzapi\systemmonitorinterfaces\operationeventdata.cs,237,16.87764
hzapi\systemmonitorinterfaces\eventmanager.cs,6,83.33334
hzframework\utilities\datastore\dscroutines.cs,68,0
hzframework\utilities\formatting\loggraphicscomputationsequenceformatter.cs,16,0
hzframework\utilities\datastore\dscroutines.deliverables.cs,84,47.61905
hzframework\utilities\formatting\elapsedtimeconverter.cs,27,0
hzframework\utilities\forms\aboutmaxwell.cs,178,0
hzframework\utilities\formatting\loggraphicswellinformationformatter.cs,15,0
hzframework\utilities\datastore\dscroutines.calibration.cs,101,0
hzproducts\viewers\deliverables\editorlas\digitaltoolcustomlasproperty.cs,236,0
hzproducts\viewers\deliverables\editorlas\digitallastemplateproperty.cs,233,61.80257
hzproducts\viewers\deliverables\editorlas\digitallasformateditor.cs,440,0
hzproducts\viewers\deliverables\editorlas\templatepropertycontextlas.cs,10,90
hzproducts\viewers\deliverables\editorlas\customlasformateditortoolbar.cs,75,0
hzproducts\viewers\deliverables\editorlas\channelordersortitem.cs,7,0
hzproducts\viewers\deliverables\editorlas\typeconverter\depthstepconverter.cs,13,0
hzproducts\viewers\deliverables\editorlas\typeconverter\comboboxconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\indexdirectionconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\dataassignmenttypeconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\rtrmconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\unit_systemconverter.cs,14,0
hzproducts\viewers\deliverables\editorlas\typeconverter\interpolationconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\timestepconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\output_typeversionconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\channeldecimalcomboboxconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\outputtypeconverter.cs,7,0
hzproducts\viewers\deliverables\editorlas\typeconverter\indexdecimalcomboboxconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\typeconverter\decimallengthconverter.cs,4,0
hzproducts\viewers\deliverables\editorlas\depthstephelper.cs,5,80
hzproducts\viewers\deliverables\editorlas\typeconverter\lasstylecomboboxconverter.cs,9,0
hzproducts\viewers\deliverables\editorwits\digitalwitsformateditor.cs,649,0
hzproducts\viewers\deliverables\editorwits\digitalwitstemplateproperty.cs,136,47.05882
hzproducts\viewers\deliverables\editorwits\templatepropertycontextwits.cs,4,75
hzproducts\viewers\deliverables\editorwits\slbwitsrecord.cs,153,0
hzproducts\viewers\deliverables\editorwits\selectwitsrecordform.cs,13,0
hzproducts\viewers\deliverables\editorwits\customwitsformateditortoolbar.cs,150,0
hzproducts\viewers\deliverables\editorwits\typeconverter\timestepconverter.cs,4,0
hzproducts\viewers\deliverables\editorwits\digitalwitsformateditor.designer.cs,123,0
hzproducts\viewers\deliverables\editorwits\witscomponent.cs,4,0
hzproducts\viewers\deliverables\editorwits\slbwitschannel.cs,103,0
hzproducts\viewers\deliverables\editorwits\typeconverter\allowhistoricaldatabooleancomboboxconverter.cs,6,0
hzproducts\viewers\deliverables\editorwits\selectwitsrecordform.designer.cs,41,0
hzproducts\viewers\deliverables\editorwitsml\digitalwitsmltemplateproperty.cs,88,47.72727
hzproducts\viewers\deliverables\editorwitsml\templatepropertycontextwitsml.cs,4,75
hzproducts\viewers\deliverables\editorwitsml\digitalwitsmlformateditor.cs,69,0
hzproducts\viewers\deliverables\editorwitsml\boreholeimageorientationrepmodel.cs,138,0
hzproducts\viewers\deliverables\editorwitsml\boreholeimageobj.cs,27,0
hzproducts\viewers\deliverables\editorwitsml\typeconverter\depthstepintervalconverter.cs,4,0
hzproducts\viewers\deliverables\editorwitsml\typeconverter\timestepconverter.cs,4,0
hzproducts\viewers\deliverables\editorwitsml\digitaltoolcustomwitsmltemplateproperty.cs,24,0
hzproducts\viewers\deliverables\editorwitsml\templatepropertycontexttoolcustomwitsml.cs,2,0
hzframework\acquisition\datapump\regkey.cpp,18,0
hzframework\acquisition\toolctrlmanager\databinder.h,164,0
hzframework\acquisition\timeframefile\frame.h,37,54.05405
hzframework\acquisition\datapump\wldatapump.cpp,3355,0.08941878
hzframework\acquisition\toolctrlmanager\threads.h,36,0
hzframework\acquisition\datapump\dpdebughelper.h,113,0
hzframework\acquisition\datapump\wldatapumpconfigurer.cpp,274,0
hzframework\acquisition\timeframefile\tffparametermanager.cpp,773,0
hzframework\acquisition\datapump\datapumplogger.cpp,41,0
hzframework\acquisition\datapump\dpdebughelper.cpp,48,0
hzframework\acquisition\toolctrlmanager\toolctrlmanager.cpp,557,0.1795332
hzframework\acquisition\cmdhandler\cmdhandler.h,283,0
hzframework\acquisition\timeframefile\tffreader.cpp,1969,0.1523616
hzframework\acquisition\common\notifyevents.cpp,169,0
hzframework\acquisition\timeframefile\frame.cpp,1090,0
hzframework\acquisition\common\common.h,20,100
hzframework\acquisition\datapump\hspmdatapump.cpp,4250,0.02352941
hzframework\acquisition\datapump\analogmaster.cpp,295,0
hzframework\acquisition\datapump\dttdepthwarningctrl.cpp,49,4.081633
hzframework\acquisition\simgeomodels\lasgeomodel.h,61,0
hzframework\acquisition\timeframefile\tffchannelmanager.cpp,534,0
hzwafe\frontend\daemon\runsettings.cpp,281,0
hzframework\acquisition\datapump\datapump.cpp,574,0
hzframework\acquisition\simgeomodels\dlisgeomodel.cpp,643,0
hzframework\acquisition\toolctrlmanager\msgstack.cpp,366,8.196721
hzframework\acquisition\datapump\hspmfrontend.cpp,183,1.639344
hzframework\acquisition\simgeomodels\lasgeomodel.cpp,427,0
hzframework\acquisition\wirelinepowermanager\slbwirelinepowermanager.h,58,86.20689
hzframework\acquisition\wirelinepowermanager\slbwirelinepowermanager.cpp,196,92.34694
hzframework\acquisition\toolctrlmanager\toolmodulemgrbase.h,2,0
hzframework\acquisition\toolctrlmanager\statusslot.h,19,0
hzframework\acquisition\wireline\include\winutilities.h,16,0
hzframework\acquisition\datapump\telemetrymonitorlogger.cpp,71,0
hzframework\acquisition\datapump\registry.cpp,44,0
hzframework\acquisition\datapump\dttalarmmanager.cpp,43,0
hzframework\acquisition\cmdhandler\cmdhandler.cpp,1295,0
hzapi\include\utilityimpl2.h,130,0
hzframework\acquisition\toolctrlmanager\databinder.cpp,797,0
hzframework\acquisition\toolctrlmanager\parameteraccessor.cpp,121,1.652893
hzframework\acquisition\timeframefile\tffdscdatamodel.cpp,852,0.2347418
hzframework\acquisition\datapumpmediator\datapumpmediator.cpp,463,0.2159827
hzframework\acquisition\datapump\timedepthfilewriter.cpp,357,0
hzframework\acquisition\fwktoolcontrolmodules\telemetrystatusmonitorregulationmodule.cpp,120,0
hzframework\acquisition\datapump\acqcalicoefreader.h,102,0
hzframework\acquisition\datapump\acqmodules.h,4,0
hzframework\acquisition\toolctrlmanager\threads.cpp,231,0.4329004
hzframework\acquisition\datapump\dttacqmodule.cpp,157,0
hzframework\acquisition\toolctrlmanager\regulationmanager.cpp,75,0
hzframework\acquisition\datapump\acqsettingreader.h,75,0
hzframework\acquisition\toolctrlmanager\sequencemanager.cpp,128,0
hzframework\acquisition\toolctrlmanager\toolmodulemgrbase.cpp,121,0
hzframework\acquisition\common\acqutility.h,26,0
hzframework\acquisition\datapump\telmsgmonitor.cpp,205,0
hzframework\acquisition\toolctrlmanager\statusslot.cpp,448,0
hzframework\acquisition\timeframefile\calibration.h,1,100
hzapi\baseimpl\wlpowerhelper.cpp,111,1.801802
hzframework\acquisition\datapump\runsettingsbuilder.cpp,60,0
hzframework\acquisition\timeframefile\characterizationtestwrite.cpp,15,73.33334
hzframework\acquisition\timeframefile\calibration.cpp,912,0
hzframework\acquisition\timeframefile\tffchannelmanager.h,9,22.22222
hzframework\acquisition\datapump\acqmodules.cpp,391,0
hzframework\acquisition\datapump\cabletension.cpp,8,0
hzframework\acquisition\datapump\hspmdatapump.h,94,18.08511
hzframework\acquisition\datapumpmediator\persistedacqtime.cpp,10,0
hzframework\acquisition\datapump\framedeffileparser.cpp,49,0
hzframework\acquisition\datapump\cablemasterinfo.cpp,146,0
hzframework\acquisition\datapump\telemetrymonitordatasource.cpp,172,0
hzframework\acquisition\toolctrlmanager\toolctrllog.cpp,23,0
hzframework\acquisition\datapump\cablespeed.cpp,30,3.333333
hzframework\acquisition\datapump\configuration.cpp,42,2.380952
hzframework\acquisition\timeframefile\tffrigmanager.cpp,75,0
hzframework\acquisition\datapump\wldptoolmodulehelper.cpp,99,0
hzframework\acquisition\datapump\datapump.h,2,0
hzapi\include\systemstate.h,28,64.28571
hzframework\acquisition\datapump\nodeorigin.cpp,17,0
hzframework\acquisition\datapump\cablemasterinfo.h,18,0
hzframework\acquisition\timeframefile\channelrecord.cpp,70,0
hzframework\acquisition\datapump\wldataportmanager.cpp,313,0
hzframework\acquisition\simgeomodels\dlisgeomodel.h,79,0
hzwafe\frontend\daemon\xmlhelper.h,9,0
hzwafe\frontend\common\watchdog\src\dog.h,28,0
hzapi\include\frontend.h,23,30.43478
hzframework\acquisition\datapump\hspmrigtimezone.h,1,100
hzframework\acquisition\acquisitionhelper\acquisitionparameterhelper.cpp,144,0
hzframework\acquisition\fwktoolcontrolmodules\acqconsolefrozenregulationmodule.cpp,43,0
hzframework\acquisition\datapump\depthserver.cpp,58,0
hzframework\acquisition\datapump\remotehspm.cpp,53,0
hzframework\acquisition\datapump\wldatapump.h,2,0
hzframework\acquisition\timeframefile\tffdscdatamodel.h,44,0
hzframework\acquisition\datapump\wldatapumpconfigurer.h,17,0
hzframework\acquisition\datapump\dnmrteventinfobuilder.cpp,23,0
hzframework\acquisition\common\acqutility.cpp,70,1.428571
hzframework\acquisition\timeframefile\tffparameter.cpp,36,0
hzframework\acquisition\toolctrlmanager\toolctrlmanager.h,15,0
hzframework\acquisition\datapump\dpflushcontroller.cpp,40,0
hzapi\include\acqmoduleimpl.h,4,0
hzframework\acquisition\datapump\datapumpunitconverter.cpp,6,0
hzframework\acquisition\datapump\wldatapumphelper.cpp,42,2.380952
hzframework\acquisition\datapump\hspmrigtimezone.cpp,74,0
hzframework\acquisition\timeframefile\tffconstants.h,1,100
hzframework\acquisition\fwktoolcontrolmodules\progress_form_launcher.h,68,0
hzframework\acquisition\simgeomodels\abstractgeomodel.h,24,0
hzframework\acquisition\timeframefile\tffparameter.h,6,0
hzframework\acquisition\wireline\include\shareddefs.h,9,0
hzframework\acquisition\datapump\hspmproxy.cpp,3,0
hzframework\acquisition\timeframefile\channel.h,43,0
c:\program files (x86)\windows kits\8.1\include\shared\strsafe.h,93,25.80645
hzapi\include\busmasterimpl.h,11,0
hzframework\acquisition\datapump\analogmaster.h,3,0
hzframework\include\utils2.h,32,0
hzframework\acquisition\datapump\timedepthfilewriter.h,6,0
hzframework\acquisition\fwktoolcontrolmodules\acqconsolefrozenregulationmodule.h,5,0
hzframework\acquisition\toolctrlmanager\common.h,11,0
hzframework\acquisition\datapump\wlpowercontroller.cpp,2,0
hzwafe\frontend\loader\frontend.cpp,181,8.287292
hzwafe\frontend\common\wafemapping.cpp,11,0
hzwafe\frontend\loader\dllmain.cpp,4,100
hzgraphics\loggraphics\lgunitsystem\unitsystem.h,2,0
hzgraphics\loggraphics\lgunitsystem\intunitsystem.cpp,1064,40.97744
hzgraphics\loggraphics\lgunitsystem\unitsystem.cpp,345,6.376812
hzgraphics\loggraphics\lgunitsystem\unitsystemhelper.h,5,0
hzgraphics\loggraphics\lgcore\formatcontext\lgshadingproperties.cpp,386,0
hzgraphics\loggraphics\lgcore\formatcontext\ilgcontextimpl.h,209,48.32536
hzgraphics\loggraphics\lgcore\formatcontext\lgmultiinstancecurve.cpp,368,0
hzgraphics\loggraphics\lgcore\formatcontext\lgpatterntable.cpp,357,0
hzgraphics\loggraphics\lgcore\formatcontext\lgboreholedata.cpp,396,0
hzgraphics\loggraphics\lgcore\formatcontext\lgshadingareapropertyproduct.cpp,88,60.22727
hzgraphics\loggraphics\lgcore\formatcontext\lgrepeatanalysiscurve.cpp,499,0
hzgraphics\loggraphics\lgcore\formatcontext\lglimits.cpp,578,7.958477
hzgraphics\loggraphics\lgcore\formatcontext\lgcurveaggregatespacings.cpp,204,0
hzgraphics\loggraphics\lgcore\formatcontext\lgpattern.cpp,304,0
hzgraphics\loggraphics\lgcore\formatcontext\lgpip.cpp,486,0
hzgraphics\loggraphics\lgcore\formatcontext\lgsymbolcurve.cpp,377,0
hzgraphics\loggraphics\lgcore\formatcontext\ilgussensibleimpl.h,147,27.21088
hzgraphics\loggraphics\lgcore\formatcontext\lgstationpoints.cpp,612,0
hzgraphics\loggraphics\lgcore\formatcontext\lgvaluecurve.cpp,374,0
hzgraphics\loggraphics\lgcore\formatcontext\lgmultipasscurve.cpp,333,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcurvearea.cpp,369,0
hzgraphics\loggraphics\lgcore\formatcontext\lgindexline.cpp,193,0
hzgraphics\loggraphics\lgcore\formatcontext\lgareafill.cpp,339,0
hzgraphics\loggraphics\lgcore\formatcontext\lgbcsauxiliaryline.cpp,209,0
hzgraphics\loggraphics\lgcore\formatcontext\lglineproperty.cpp,371,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcustautoannotation.cpp,249,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcurveaggregate.cpp,306,0
hzgraphics\loggraphics\lgcore\formatcontext\lgabsentinterval.cpp,271,24.35424
hzgraphics\loggraphics\lgcore\formatcontext\lgshadingareapropertylist.cpp,66,46.9697
hzgraphics\loggraphics\lgcore\formatcontext\lgfanplot.cpp,475,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcustannotation.cpp,346,0
hzgraphics\loggraphics\lgcore\formatcontext\lgparametercurve.cpp,372,0
hzgraphics\loggraphics\lgcore\formatcontext\lgboreholecrosssection.cpp,334,0
hzgraphics\loggraphics\lgcore\formatcontext\lgformatcontext.cpp,552,22.46377
hzgraphics\loggraphics\lgcore\formatcontext\lgboreholeshapelist.cpp,76,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcolormap.cpp,287,0
hzgraphics\loggraphics\lgcore\formatcontext\lgplcrosssection.cpp,295,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcurveshading.cpp,78,56.41026
hzgraphics\loggraphics\lgcore\formatcontext\lgdurations.cpp,197,0
hzgraphics\loggraphics\lgcore\formatcontext\lgdipangle.cpp,545,0
hzgraphics\loggraphics\lgcore\formatcontext\lgamplitudes.cpp,179,0
hzgraphics\loggraphics\lgcore\formatcontext\lgqualitycurve.cpp,341,0
hzgraphics\loggraphics\lgcore\formatcontext\xmlstatichelper.cpp,56,0
hzgraphics\loggraphics\lgcore\formatcontext\lglithology.cpp,472,0
hzgraphics\loggraphics\lgcore\formatcontext\lgimage.cpp,302,0
hzgraphics\loggraphics\lgcore\formatcontext\lgchannelinstances.cpp,306,0
hzgraphics\loggraphics\lgcore\formatcontext\lgvolumeanalysis.cpp,174,0
hzgraphics\loggraphics\lgcore\include\lgmacros.h,3,100
hzgraphics\loggraphics\lgcore\formatcontext\ilgcustcontextimpl.h,181,0
hzgraphics\loggraphics\lgcore\formatcontext\lgtadpole.cpp,289,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcustcontextlist.cpp,40,0
hzgraphics\loggraphics\lgcore\formatcontext\proxy_ilgcontextevents.h,20,40
hzgraphics\loggraphics\lgcore\formatcontext\lgcustomization.cpp,94,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcurveshadingproduct.cpp,226,41.15044
hzgraphics\loggraphics\lgcore\formatcontext\lggradientline.cpp,728,0
hzgraphics\loggraphics\lgcore\formatcontext\lgstatuswordmapping.cpp,229,0
hzgraphics\loggraphics\lgcore\formatcontext\lgwaveform.cpp,432,0
hzgraphics\loggraphics\lgcore\formatcontext\lgvdl.cpp,332,0
hzgraphics\loggraphics\lgcore\formatcontext\lgaveragecurve.cpp,328,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcurve.cpp,462,12.77056
hzgraphics\loggraphics\lgcore\formatcontext\lgtrack.cpp,345,11.5942
hzgraphics\loggraphics\lgcore\formatcontext\lgboreholedrift.cpp,267,0
hzgraphics\loggraphics\lgcore\formatcontext\lgspacings.cpp,183,0
hzgraphics\loggraphics\lgcore\formatcontext\fchelper.cpp,2076,9.489403
hzgraphics\loggraphics\lgcore\formatcontext\lgcustomizationcontext.cpp,328,0
hzgraphics\loggraphics\lgcore\formatcontext\lgformat.cpp,622,6.59164
hzgraphics\loggraphics\lgcore\formatcontext\lgindexnumber.cpp,212,0
hzgraphics\loggraphics\lgcore\formatcontext\lgchannels.cpp,226,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcustannotationtable.cpp,203,0
hzgraphics\loggraphics\lgcore\formatcontext\lgtick.cpp,231,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcontextlist.cpp,40,45
hzgraphics\loggraphics\lgcore\formatcontext\lgchannelbinding.cpp,166,0
hzgraphics\loggraphics\lgcore\formatcontext\lgboreholeimage.cpp,303,0
hzgraphics\loggraphics\lgcore\formatcontext\lglogarithmicgrid.cpp,214,0
hzgraphics\loggraphics\lgcore\formatcontext\lgindexscale.cpp,450,0
hzgraphics\loggraphics\lgcore\formatcontext\lgsinedip.cpp,236,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcurveproperties.cpp,344,0
hzgraphics\loggraphics\lgcore\formatcontext\lguncertaintycurve.cpp,308,0
hzgraphics\loggraphics\lgcore\formatcontext\lgfont.cpp,175,0
hzgraphics\loggraphics\lgcore\formatcontext\lgmultiinstancevaluecurve.cpp,138,0
hzgraphics\loggraphics\lgcore\formatcontext\lgsuspiciouszones.cpp,186,0
hzgraphics\include\atlrx.h,692,0
hzgraphics\loggraphics\lgcore\formatcontext\lgintervalset.cpp,363,0
hzgraphics\loggraphics\lgcore\formatcontext\lgautoannotations.cpp,259,0
hzgraphics\loggraphics\lgcore\formatcontext\lgtextformattings.cpp,194,0
hzgraphics\loggraphics\lgcore\formatcontext\lgvdl2d.cpp,308,0
hzgraphics\loggraphics\lgcore\formatcontext\lglineargrid.cpp,143,0
hzgraphics\loggraphics\lgcore\formatcontext\lgstatuswordimage.cpp,386,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcumulativeareaproperty.cpp,336,0
hzgraphics\loggraphics\lgcore\include\lgpropertychangedeventsink.cpp,40,65
hzgraphics\loggraphics\lgcore\formatcontext\lgcumulativecurves.cpp,343,0
hzgraphics\loggraphics\lgcore\include\uchelper.cpp,62,37.09678
hzgraphics\loggraphics\lgcore\formatcontext\lgtangentialgrid.cpp,180,0
hzgraphics\loggraphics\lgcore\formatcontext\lgorientedtrack.cpp,456,0
hzgraphics\loggraphics\lgcore\formatcontext\lgzoneset.cpp,231,0
hzgraphics\loggraphics\lgcore\formatcontext\lgdepthreference.cpp,227,0
hzgraphics\loggraphics\lgcore\formatcontext\cchelper.cpp,203,0.9852217
hzgraphics\loggraphics\lgcore\formatcontext\lgindexgrid.cpp,102,0
hzgraphics\loggraphics\lgcore\formatcontext\lgdepthmarker.cpp,207,0
hzgraphics\loggraphics\lgcore\formatcontext\lgcustomizationcontext.h,2,0
hzgraphics\loggraphics\lgcore\formatcontext\lgobjectfactory.h,1,0
hzgraphics\loggraphics\lgcore\formatcontext\contextstatichelper.cpp,9,100
hzgraphics\loggraphics\lgcore\formatcontext\lgshadingareapropertylistproduct.cpp,228,28.94737
hzgraphics\loggraphics\lgcore\formatcontext\lgfonttable.cpp,111,0
hzgraphics\loggraphics\lgcore\formatcontext\lgshadingareaproperty.cpp,36,75
hzgraphics\loggraphics\lgcore\formatcontext\fchelper.h,14,0
hzgraphics\loggraphics\lgcore\formatcontext\lgstaticthreshold.cpp,121,47.93388
hzgraphics\loggraphics\lgcore\formatcontext\lgformatcontext.h,2,0
hzgraphics\loggraphics\lgcore\formatcontext\ccclassfactory.h,9,0
hzgraphics\loggraphics\lgcore\formatcontext\comstatichelper.cpp,6,0
hzgraphics\loggraphics\lgcore\formatcontext\fcclassfactory.h,9,88.88889
hzgraphics\loggraphics\lgcore\formatcontext\lgcomobjectfactory.h,4,0
hzgraphics\loggraphics\lgcore\imagemodule\lgstatichistogram.cpp,63,0
hzgraphics\loggraphics\lgcore\imagemodule\lgexplicitnormalization.cpp,101,0
hzgraphics\loggraphics\lgcore\imagemodule\bnhelper.cpp,638,0
