File,LOC,Coverage
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\datagridviewex.cs,89,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\linenumberbar.cs,115,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\presentation\promptmessage.cs,12,91.66666
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\view.cs,94,84.04256
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationform.cs,6,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\richtextboxex.cs,11,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationform.designer.cs,13,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\richtextboxex.designer.cs,21,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\localcomputationuip.designer.cs,422,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\datagridviewex.designer.cs,6,0
hzproducts\managers\localcomputationmanager\localcomputationmanager\view\columndefine.cs,2,100
hzproducts\utilities\headertypeproperty\headertypeosddparamvalue.cs,87,63.21839
hzproducts\utilities\headertypeproperty\headertypeproperty.cs,62,0
hzproductsapi\gcframework\gcuibase\gcuibase.cs,397,16.12091
hzproductsapi\gcframework\gcuibase\gcpropertybase.cs,164,41.46341
hzproductsapi\gcframework\gcuibase\gcutilities.cs,244,14.34426
hzproductsapi\gcframework\gcuibase\gcdigitalhelpers.cs,398,0
hzproductsapi\gcframework\gcuibase\formatschema\graphicaltemplateformatschema.cs,59,0
hzproductsapi\gcframework\gcuibase\gcuiinterface.cs,101,2.970297
hzproductsapi\gcframework\gcuibase\gcdatamodel\gccomponentfactory.cs,7,0
hzproductsapi\gcframework\gcuibase\gclabel.cs,148,47.2973
hzproductsapi\gcframework\gcuibase\formatschema\repeatinfoschema.cs,34,0
hzproductsapi\gcframework\gcuibase\gccomponentcode_t.cs,38,5.263158
hzproductsapi\gcframework\gcuibase\datamodel\graphicaltemplate.cs,21,0
hzproductsapi\gcframework\gcuibase\gcdatamodel\gcgraphicaltemplate.cs,28,0
hzproductsapi\gcframework\gcuibase\dscservice\deliverabletemplatemanager.cs,66,0
hzproductsapi\gcframework\gcuibase\slbcustomtexteditor.cs,124,0
hzproductsapi\gcframework\gcuibase\dscservice\gcparadscservice.cs,16,0
hzproductsapi\gcframework\gcuibase\dscservice\gcpassdscservice.cs,13,0
hzproductsapi\gcframework\gcuibase\datamodel\gcentitycreator.cs,21,0
hzproductsapi\gcframework\gcuibase\dscservice\gcrundscservice.cs,16,0
